Ticker,Name,Date,Open,High,Low,Close
A2A,a2a,2026-04-22,2.3920,2.3940,2.3690,2.3850
AZM,azimut,2026-04-22,37.3600,37.6000,37.2600,37.6000
BMPS,mps,2026-04-22,9.1780,9.2010,8.9180,9.0250
BAMI,banco-bpm,2026-04-22,12.5200,12.6050,12.2750,12.3600
BPE,popolare-emilia-romagna,2026-04-22,12.2020,12.2560,12.0140,12.1240
CPR,campari,2026-04-22,6.3660,6.3660,6.2820,6.3000
ENEL,enel,2026-04-22,9.6820,9.7980,9.6790,9.7750
ENI,eni,2026-04-22,22.4800,23.1800,22.3700,22.9650
STLAM,stellantis-nv,2026-04-22,7.4510,7.4870,7.3730,7.4120
LDO,leonardo,2026-04-22,55.5400,55.5900,54.3100,54.8900
G,generali,2026-04-22,37.8500,37.8900,37.4100,37.5800
ISP,intesa-sanpaolo,2026-04-22,5.7720,5.7980,5.7100,5.7460
MFEB,mfe-b,2026-04-22,4.0200,4.0200,3.8900,3.9340
MB,mediobanca,2026-04-22,19.9800,20.0600,19.4675,19.7000
XBRMIB,fr0010446666,2026-04-22,0.1816,0.1835,0.1812,0.1822
